Shawn;26;10;21;18;18;23;10;23;18;14;16;9;3.47917162322;
Eugene;10;5;8;6;0;0;11;0;10;0;0;7;0;
Landon;13;23;30;38;39;43;60;57;61;63;61;66;124.660996399;
Corban;0;0;0;0;0;5;0;0;0;0;0;0;1.11351612759;
Kalan;0;0;0;0;8;0;7;5;0;0;0;0;1.02947644681;
Fateh;0;0;0;0;0;0;0;0;0;0;5;5;8.01056566468;
Dominik;0;8;6;9;9;9;15;7;7;6;13;12;20.253723889;
Lukasz;0;0;0;0;0;0;0;0;0;0;5;0;5.0676435351;
Austin;118;114;129;112;103;110;113;98;82;90;99;83;51.9038646334;
Nevin;0;0;0;0;0;0;0;0;0;6;0;0;2.98424258339;
Aarav;0;0;0;0;0;0;0;0;0;0;9;16;19.2138511389;
Sydney;0;0;0;0;0;0;5;0;5;0;0;0;0;
Hadi;0;0;0;0;0;0;0;0;5;0;0;0;0;
Makaio;0;0;0;0;0;0;0;9;0;0;0;0;0;
Darren;20;20;22;17;21;15;21;13;14;9;13;20;8.67158490226;
Brenden;21;25;13;14;7;12;9;9;12;0;6;0;0;
Clinton;7;6;0;0;0;5;0;0;0;0;0;0;0;
Jonathan;85;89;85;68;55;71;75;75;54;59;61;59;16.2108912156;
Sahej;0;0;0;0;0;0;0;0;0;0;8;7;12.1795126618;
Leonard;0;5;8;0;6;0;0;0;0;0;11;11;16.790062089;
Kurtis;12;20;7;13;10;6;7;6;0;0;0;8;0;
Konrad;10;0;0;0;0;0;0;0;0;5;0;0;0;
Jose;9;8;0;5;0;0;5;6;0;0;0;0;0;
Jaxson;8;8;13;7;8;11;22;18;29;29;31;61;73.9249425003;
Dale;7;5;0;5;0;0;0;0;0;0;0;0;0;
Rahul;6;10;0;0;0;0;0;0;0;0;0;0;0;
Luca;16;27;25;25;30;25;35;34;39;35;56;41;76.1444000721;
Brant;0;5;0;0;0;0;0;0;0;0;0;0;0;
Jaskaran;16;13;10;8;8;10;0;11;6;0;0;0;0;
Xander;0;0;25;13;12;15;17;18;24;13;15;25;36.4616048387;
Augustus;0;0;0;0;0;0;5;0;0;0;0;0;0;
Aiden;55;57;104;100;103;121;138;131;135;140;125;112;206.296297044;
Kyan;0;0;0;0;12;5;9;5;8;6;0;9;13.4525844714;
Joey;8;0;0;0;6;11;9;0;6;10;8;5;13.5992355593;
Otto;0;0;0;0;0;0;0;5;0;0;0;0;0;
Aleksandar;0;0;5;0;0;0;0;0;0;0;0;0;0;
Milo;0;0;8;0;5;0;10;11;0;16;15;12;29.1159658321;
Nicolas;43;42;35;32;38;34;26;35;32;24;27;34;13.0618396427;
Kallen;0;0;0;0;0;0;0;0;0;0;0;6;4.37358641506;
Tavin;0;0;0;0;0;0;0;0;0;7;0;0;3.48161633423;
Massimo;0;0;0;5;0;0;6;0;0;8;0;0;4.82184828408;
Ari;0;0;0;0;0;5;0;5;12;9;13;10;23.9831543573;
Gage;18;19;23;16;25;20;27;15;29;24;21;14;21.1188525206;
Dominique;0;0;0;0;0;0;5;0;0;0;0;0;0;
Danny;5;10;6;7;7;9;11;7;7;11;5;0;0.673108039444;
Benedict;0;0;0;5;0;0;0;0;5;0;0;0;1.07765826685;
Alexzander;0;0;0;0;0;6;5;0;5;0;0;0;0.518180422705;
Aedan;0;0;7;5;5;6;0;0;0;5;0;0;4.43754470936;
Kasey;0;0;0;0;0;0;0;0;5;0;0;0;0;
Lars;0;0;0;0;0;6;0;0;0;5;0;0;5.58484709883;
Richard;44;42;28;31;30;27;21;20;21;18;17;18;0;
Kayleb;0;0;0;0;0;0;0;5;0;5;0;0;0.741997876414;
Johan;0;0;0;0;0;0;0;0;0;0;0;5;3.6446554132;
Casey;14;10;12;12;11;12;13;9;14;15;10;13;13.273038365;
Sami;0;0;0;0;0;0;5;0;0;5;0;0;0.0946098918513;
Arden;0;0;0;0;0;6;0;0;0;0;0;0;1.33621937984;
Arlo;0;0;0;8;0;0;0;0;0;9;8;10;19.2326245546;
Branden;15;10;10;7;6;5;0;0;0;5;0;0;0;
Kashton;0;0;0;0;0;0;0;0;0;6;0;0;2.98424258339;
Sheldon;13;14;8;12;9;11;10;0;9;5;0;6;0;
Niall;0;0;0;0;0;6;0;0;0;0;0;0;1.33621937984;
Oliver;36;31;54;41;61;95;103;118;141;125;142;150;247.220831335;
Tucker;0;0;0;0;0;7;12;12;6;9;9;6;11.5170293255;
Brennen;0;0;6;8;0;0;0;0;5;0;0;0;0;
Ranvir;0;0;0;0;0;0;0;0;5;5;0;7;7.95644630774;
Jarod;6;5;0;0;0;0;0;0;0;0;0;0;0;
Orlando;0;0;0;0;0;0;0;0;0;6;0;0;2.98424258339;
Isaiah;35;52;47;49;48;38;48;55;40;45;53;54;58.3504987668;
Treyton;0;0;0;0;0;0;0;0;0;5;0;0;2.48686881901;
Drew;9;10;9;13;12;8;6;12;11;10;8;9;9.44513899102;
Jaron;0;0;0;0;0;0;0;5;0;0;0;0;0;
Ryley;7;8;6;15;6;0;6;6;0;9;5;0;1.08805658109;
Quentin;0;12;9;9;11;14;5;11;10;10;0;0;1.12949007353;
Asher;0;5;0;8;17;16;18;29;30;34;41;54;99.4253619237;
Rayden;0;0;0;0;0;5;0;0;6;0;0;0;0;
Graham;17;20;18;9;12;7;14;9;14;11;12;9;0;
Josef;6;0;0;0;0;5;5;0;5;0;0;0;0;
Linkin;0;0;0;0;0;0;0;5;0;0;0;0;0;
Mario;0;0;0;0;0;11;10;6;0;0;0;0;0.506613469436;
Layne;0;6;0;7;5;6;0;0;6;10;10;6;16.9196463234;
Teagan;6;6;5;7;6;5;7;7;7;9;9;6;9.81174792887;
Kolby;17;7;8;10;9;0;9;7;5;0;0;5;0;
Joseph;99;99;108;84;109;87;75;88;64;60;61;63;15.2018594511;
Izaak;6;6;0;0;0;0;0;0;0;0;0;0;0;
Remy;0;0;0;0;0;0;0;0;0;5;0;5;8.0682274048;
Christopher;145;112;96;82;79;66;86;66;52;57;55;46;0;
Dayton;23;30;26;25;32;30;25;38;25;14;18;20;6.85717988008;
